"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Problem Start Time","Problem End Time","Latency (sec)","Steps Missing Start Times","Hints","Incorrects","Corrects","Avg Corrects","Steps","Avg Assistance Score","Correct First Attempts","Condition","KCs (Geometry)","Steps without KCs (Geometry)","KC List (Geometry)","KCs (KRE_circle_area)","Steps without KCs (KRE_circle_area)","KC List (KRE_circle_area)","KCs (Khushboo)","Steps without KCs (Khushboo)","KC List (Khushboo)","KCs (MJB-SQRECT-Merge)","Steps without KCs (MJB-SQRECT-Merge)","KC List (MJB-SQRECT-Merge)","KCs (MyKC)","Steps without KCs (MyKC)","KC List (MyKC)","KCs (NNEWWW)","Steps without KCs (NNEWWW)","KC List (NNEWWW)","KCs (New)","Steps without KCs (New)","KC List (New)","KCs (NewModel)","Steps without KCs (NewModel)","KC List (NewModel)","KCs (Single-KC)","Steps without KCs (Single-KC)","KC List (Single-KC)","KCs (Textbook)","Steps without KCs (Textbook)","KC List (Textbook)","KCs (Textbook-test)","Steps without KCs (Textbook-test)","KC List (Textbook-test)","KCs (Unique-step)","Steps without KCs (Unique-step)","KC List (Unique-step)","KCs (Zhulin_Textbook11_SquareRectMerge)","Steps without KCs (Zhulin_Textbook11_SquareRectMerge)","KC List (Zhulin_Textbook11_SquareRectMerge)","KCs (new KC model name)","Steps without KCs (new KC model name)","KC List (new KC model name)"
"751",751,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TRIANGLE_ABC",1,"1996-02-01 00:15:56","1996-02-01 00:16:40",44,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",3,0,50,1,0,"triangle-area",1,0,23
"752",752,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TRIANGLE_TRIANGLE",1,"1996-02-01 00:16:52","1996-02-01 00:16:52",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,60,1,0,"triangle-area",1,0,23
"753",753,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","PENTAGON",1,"1996-02-01 00:17:07","1996-02-01 00:18:17",70,0,0,4,5,1.667,3,1.333,1,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,26,1,0,"pentagon-area",1,0,20
"754",754,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TRIANGLE_RECTANGLE",1,"1996-02-01 00:18:41","1996-02-01 00:18:44",3,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,17,2,0,"compose-by-multiplication, triangle-area",2,0,17
"755",755,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","DESIGNING_A_QUILT",1,"1996-02-01 00:18:57","1996-02-01 00:21:58",181,0,0,6,12,1,12,0.5,6,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",12,0,10,2,0,"compose-by-multiplication, triangle-area",2,0,17
"756",756,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","PENTAGON_ABCDE",1,"1996-02-01 00:22:03","1996-02-01 00:23:18",75,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,3,1,0,"pentagon-area",1,0,20
"757",757,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TRIANGLE_AREA",1,"1996-02-01 00:24:08","1996-02-01 00:24:08",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,54,1,0,"triangle-area",1,0,23
"758",758,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","PENTAGON_ABCDE",2,"1996-02-01 00:24:15","1996-02-01 00:24:53",38,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,3,1,0,"pentagon-area",1,0,20
"759",759,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","DESIGNING_A_QUILT",2,"1996-02-01 00:25:24","1996-02-01 00:26:16",52,0,0,2,12,1,12,0.167,10,0,1,0,"Geometry",2,0,"compose-by-multiplication, triangle-area",2,0,"area, compose-by-multiplication",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",1,0,"Single-KC",2,0,"compose-by-multiplication, triangle-area",2,0,"compose-by-multiplication, triangle-area",12,0,10,2,0,"compose-by-multiplication, triangle-area",2,0,17
"760",760,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","PENTAGON",2,"1996-02-01 00:26:21","1996-02-01 00:26:46",25,0,0,0,3,1,3,0,3,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,26,1,0,"pentagon-area",1,0,20
"761",761,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","PENTAGON_ABCDE",3,"1996-02-01 00:26:55","1996-02-01 00:27:15",20,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"pentagon-area",1,0,"area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"pentagon-area",1,0,"Single-KC",1,0,"pentagon-area",1,0,"pentagon-area",3,0,3,1,0,"pentagon-area",1,0,20
"762",762,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_O",1,"1996-02-01 00:27:22","1996-02-01 00:31:42",260,0,0,11,18,1.5,12,0.917,6,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",12,0,12,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"763",763,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","LAWN_SPRINKLER",1,"1996-02-01 00:31:57","1996-02-01 00:31:58",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"circle-area",1,0,"area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"Single-KC",1,0,"circle-area",1,0,"circle-area",1,0,62,1,0,"circle-area",1,0,0.999999999999998
"764",764,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","COVERING_POOL",1,"1996-02-01 00:32:21","1996-02-01 00:32:55",34,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"circle-area, circle-diameter",2,0,"area, diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",1,0,"Single-KC",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,28,2,0,"circle-area, circle-diameter",2,0,4
"765",765,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","DOG_ON_A_ROPE",1,"1996-02-01 00:32:59","1996-02-01 00:33:18",19,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"circle-area, circle-circumference",2,0,"area, circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",1,0,"Single-KC",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,9,2,0,"circle-area, circle-circumference",2,0,2
"766",766,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","LAWN_SPRINKLER_2",1,"1996-02-01 00:33:25","1996-02-01 00:33:54",29,0,0,3,3,1,3,1,0,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, rectangle-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,48,3,0,"circle-area, compose-by-addition, square-rect-area",3,0,8
"767",767,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_DIAMETER",1,"1996-02-01 00:34:02","1996-02-01 00:34:15",13,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,37,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"768",768,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_AREA",1,"1996-02-01 00:34:24","1996-02-01 00:34:59",35,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,58,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"769",769,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_CIRCUMFERENCE",1,"1996-02-01 00:35:06","1996-02-01 00:35:46",40,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,16,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"770",770,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","LAWN_SPRINKLER",2,"1996-02-01 00:35:52","1996-02-01 00:35:53",1,0,0,1,1,1,1,1,0,0,1,0,"Geometry",1,0,"circle-area",1,0,"area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"circle-area",1,0,"Single-KC",1,0,"circle-area",1,0,"circle-area",1,0,62,1,0,"circle-area",1,0,1
"771",771,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_DIAMETER",2,"1996-02-01 00:36:12","1996-02-01 00:36:23",11,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,37,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"772",772,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_RADIUS",1,"1996-02-01 00:36:26","1996-02-01 00:36:36",10,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,39,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"773",773,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","DOG_ON_A_ROPE",2,"1996-02-01 00:36:41","1996-02-01 00:36:51",10,0,0,0,2,1,2,0,2,0,1,0,"Geometry",2,0,"circle-area, circle-circumference",2,0,"area, circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",1,0,"Single-KC",2,0,"circle-area, circle-circumference",2,0,"circle-area, circle-circumference",2,0,9,2,0,"circle-area, circle-circumference",2,0,2
"774",774,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TROGS",1,"1996-02-01 00:36:58","1996-02-01 00:39:53",175,0,0,5,12,1,12,0.417,7,0,1,0,"Geometry",4,0,"compose-by-addition, equi-tri-height?, square-area, triangle-area",3,0,"area, compose-by-addition, equi-tri-height?",4,0,"compose-by-addition, equi-tri-height?, sq_rect-area, triangle-area",4,0,"compose-by-addition, equi-tri-height?, square-area, triangle-area",4,0,"compose-by-addition, equi-tri-height?, square-area, triangle-area",4,0,"compose-by-addition, equi-tri-height?, square-rect-area, triangle-area",4,0,"compose-by-addition, equi-tri-height?, square-rect-area, triangle-area",1,0,"Single-KC",4,0,"compose-by-addition, equi-tri-height?, square-area, triangle-area",4,0,"compose-by-addition, equi-tri-height?, rectangle-area, triangle-area",12,0,4,4,0,"compose-by-addition, equi-tri-height?, square-rect-area, triangle-area",4,0,14
"775",775,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","WATERING_VEGGIES",1,"1996-02-01 00:40:01","1996-02-01 00:40:18",17,0,0,2,3,1,3,0.667,1,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, square-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,29,3,0,"circle-area, compose-by-addition, square-rect-area",3,0,8
"776",776,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","POGS",1,"1996-02-01 00:40:50","1996-02-01 00:41:35",45,0,0,3,9,1,9,0.333,6,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, square-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, rectangle-area",9,0,38,3,0,"circle-area, compose-by-addition, square-rect-area",3,0,8
"777",777,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","ONE_CIRCLE_IN_CIRCLE",1,"1996-02-01 00:41:45","1996-02-01 00:41:58",13,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",2,0,"circle-area, compose-by-addition",2,0,"area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",1,0,"Single-KC",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,56,2,0,"circle-area, compose-by-addition",2,0,5
"778",778,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","ONE_CIRCLE_IN_SQUARE",1,"1996-02-01 00:42:07","1996-02-01 00:42:16",9,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, square-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,43,3,0,"circle-area, compose-by-addition, square-rect-area",3,0,8
"779",779,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TWO_CIRCLES_IN_CIRCLE",1,"1996-02-01 00:42:28","1996-02-01 00:43:11",43,0,0,2,4,1,4,0.5,2,0,1,0,"Geometry",2,0,"circle-area, compose-by-addition",2,0,"area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",1,0,"Single-KC",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",4,0,35,2,0,"circle-area, compose-by-addition",2,0,5
"780",780,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"1996-02-01 00:43:55","1996-02-01 00:44:20",25,0,0,2,4,1,4,0.5,2,0,1,0,"Geometry",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",3,0,"area, compose-by-addition, compose-by-multiplication",4,0,"circle-area, compose-by-addition, compose-by-multiplication, sq_rect-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-rect-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-rect-area",1,0,"Single-KC",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, rectangle-area",4,0,20,4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-rect-area",4,0,7
"781",781,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","POGS",2,"1996-02-01 00:44:57","1996-02-01 00:45:42",45,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"compose-by-addition",1,0,"Single-KC",1,0,"compose-by-addition",1,0,"compose-by-addition",3,0,51,1,0,"compose-by-addition",1,0,11
"782",782,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TWO_CIRCLES_IN_SQUARE",2,"1996-02-01 00:45:53","1996-02-01 00:46:16",23,0,0,1,4,1,4,0.25,3,0,1,0,"Geometry",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",3,0,"area, compose-by-addition, compose-by-multiplication",4,0,"circle-area, compose-by-addition, compose-by-multiplication, sq_rect-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-rect-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-rect-area",1,0,"Single-KC",4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-area",4,0,"circle-area, compose-by-addition, compose-by-multiplication, rectangle-area",4,0,20,4,0,"circle-area, compose-by-addition, compose-by-multiplication, square-rect-area",4,0,7
"783",783,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TWO_CIRCLES_IN_CIRCLE",2,"1996-02-01 00:47:04","1996-02-01 00:47:33",29,0,0,2,4,1,4,0.5,2,0,1,0,"Geometry",2,0,"circle-area, compose-by-addition",2,0,"area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",1,0,"Single-KC",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",4,0,35,2,0,"circle-area, compose-by-addition",2,0,5
"784",784,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","ONE_CIRCLE_IN_SQUARE",2,"1996-02-01 00:48:13","1996-02-01 00:48:27",14,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, square-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, rectangle-area",3,0,43,3,0,"circle-area, compose-by-addition, square-rect-area",3,0,8
"785",785,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","ONE_CIRCLE_IN_CIRCLE",2,"1996-02-01 00:48:41","1996-02-01 00:48:46",5,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",2,0,"circle-area, compose-by-addition",2,0,"area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",1,0,"Single-KC",2,0,"circle-area, compose-by-addition",2,0,"circle-area, compose-by-addition",2,0,56,2,0,"circle-area, compose-by-addition",2,0,5
"786",786,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","POGS",3,"1996-02-01 00:49:24","1996-02-01 00:50:01",37,0,0,1,9,1,9,0.111,8,0,1,0,"Geometry",3,0,"circle-area, compose-by-addition, square-area",2,0,"area, compose-by-addition",3,0,"circle-area, compose-by-addition, sq_rect-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, square-rect-area",3,0,"circle-area, compose-by-addition, square-rect-area",1,0,"Single-KC",3,0,"circle-area, compose-by-addition, square-area",3,0,"circle-area, compose-by-addition, rectangle-area",9,0,38,3,0,"circle-area, compose-by-addition, square-rect-area",3,0,8
"787",787,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TRIANGLE_TRIANGLE",2,"1996-02-01 00:50:06","1996-02-01 00:50:06",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,60,1,0,"triangle-area",1,0,23
"788",788,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","TRIANGLE_AREA",2,"1996-02-01 00:50:30","1996-02-01 00:50:30",0,0,0,0,1,1,1,0,1,0,1,0,"Geometry",1,0,"triangle-area",1,0,"area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"triangle-area",1,0,"Single-KC",1,0,"triangle-area",1,0,"triangle-area",1,0,54,1,0,"triangle-area",1,0,23
"789",789,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","COVERING_POOL",2,"1996-02-01 00:50:40","1996-02-01 00:51:13",33,0,0,1,2,1,2,0.5,1,0,1,0,"Geometry",2,0,"circle-area, circle-diameter",2,0,"area, diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",1,0,"Single-KC",2,0,"circle-area, circle-diameter",2,0,"circle-area, circle-diameter",2,0,28,2,0,"circle-area, circle-diameter",2,0,4
"790",790,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_AREA",2,"1996-02-01 00:51:17","1996-02-01 00:51:48",31,0,0,0,3,1,3,0,3,0,1,0,"Geometry",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,58,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
"791",791,"All Data","Stu_ac8f950f416639e014a1294ac59b4086","Unit Area","CIRCLE_CIRCUMFERENCE",2,"1996-02-01 00:52:00","1996-02-01 00:52:09",9,0,0,1,3,1,3,0.333,2,0,1,0,"Geometry",3,0,"circle-circumference, circle-diameter, circle-pi",3,0,"area, circumference, diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",1,0,"Single-KC",3,0,"circle-area, circle-circumference, circle-diameter",3,0,"circle-area, circle-circumference, circle-diameter",3,0,16,3,0,"circle-area, circle-circumference, circle-diameter",3,0,3
