"","Row","Sample","Anon Student Id","Problem Hierarchy","Problem Name","Problem View","Step Name","Step Start Time","First Transaction Time","Correct Transaction Time","Step End Time","Step Duration (sec)","Correct Step Duration (sec)","Error Step Duration (sec)","First Attempt","Incorrects","Hints","Corrects","Condition","KC (Geometry)","Opportunity (Geometry)","Predicted Error Rate (Geometry)","KC (KRE_circle_area)","Opportunity (KRE_circle_area)","Predicted Error Rate (KRE_circle_area)","KC (Khushboo)","Opportunity (Khushboo)","Predicted Error Rate (Khushboo)","KC (MJB-SQRECT-Merge)","Opportunity (MJB-SQRECT-Merge)","Predicted Error Rate (MJB-SQRECT-Merge)","KC (MyKC)","Opportunity (MyKC)","Predicted Error Rate (MyKC)","KC (NNEWWW)","Opportunity (NNEWWW)","Predicted Error Rate (NNEWWW)","KC (New)","Opportunity (New)","Predicted Error Rate (New)","KC (NewModel)","Opportunity (NewModel)","Predicted Error Rate (NewModel)","KC (Single-KC)","Opportunity (Single-KC)","Predicted Error Rate (Single-KC)","KC (Textbook)","Opportunity (Textbook)","Predicted Error Rate (Textbook)","KC (Textbook-test)","Opportunity (Textbook-test)","Predicted Error Rate (Textbook-test)","KC (Unique-step)","Opportunity (Unique-step)","Predicted Error Rate (Unique-step)","KC (Zhulin_Textbook11_SquareRectMerge)","Opportunity (Zhulin_Textbook11_SquareRectMerge)","Predicted Error Rate (Zhulin_Textbook11_SquareRectMerge)","KC (new KC model name)","Opportunity (new KC model name)","Predicted Error Rate (new KC model name)"
"2368",2368,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_CIRCLE",1,"(SHADED-AREA QUESTION1)","1996-02-01 00:46:03","1996-02-01 00:46:30","1996-02-01 00:46:31","1996-02-01 00:46:31",28,-1.08710394724348,28,"incorrect",1,0,1,0,"Geometry",158,0.2733,"compose-by-addition",18,0.3172,"compose-by-addition",18,0.3146,"compose-by-addition",18,0.318,"compose-by-addition",18,0.3172,"compose-by-addition",18,0.3172,"compose-by-addition",18,0.318,"compose-by-addition",18,0.318,"Single-KC",158,0.2733,"compose-by-addition",18,0.3172,"compose-by-addition",18,0.318,34,1,0.6257,"compose-by-addition",18,0.318,4,15,0.3523
"2369",2369,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"(SQUARE-BASE QUESTION1)","1996-02-01 00:48:15","1996-02-01 00:48:15","1996-02-01 00:48:15","1996-02-01 00:48:15",0,3.5527136788005e-15,37.7023043666408,"correct",0,0,1,0,"Geometry",159,0.2733,"compose-by-multiplication",20,0.0824,"compose-by-multiplication",20,0.0813,"compose-by-multiplication",20,0.0826,"compose-by-multiplication",20,0.0825,"compose-by-multiplication",20,0.0825,"compose-by-multiplication",20,0.0826,"compose-by-multiplication",20,0.0826,"Single-KC",159,0.2733,"compose-by-multiplication",20,0.0825,"compose-by-multiplication",20,0.0826,15,1,0.4612,"compose-by-multiplication",20,0.0826,5,20,0.0848
"2370",2370,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"(SQUARE-AREA QUESTION1)","1996-02-01 00:48:15","1996-02-01 00:48:21","1996-02-01 00:48:21","1996-02-01 00:48:21",6,6,39.8331672105676,"correct",0,0,1,0,"Geometry",160,0.2732,"square-area",12,0.0888,"area",105,0.2577,"sq_rect-area",28,0.0742,"square-area",12,0.0889,"square-area",12,0.0889,"square-rect-area",28,0.0742,"square-rect-area",28,0.0742,"Single-KC",160,0.2732,"square-area",12,0.0889,"rectangle-area",28,0.0742,55,1,0.1902,"square-rect-area",28,0.0742,9,22,0.0655
"2371",2371,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"(CIRCLE-AREA QUESTION1)","1996-02-01 00:48:21","1996-02-01 00:48:26","1996-02-01 00:48:26","1996-02-01 00:48:26",5,5,36.4172658121885,"correct",0,0,1,0,"Geometry",161,0.2732,"circle-area",18,0.1934,"area",106,0.2572,"circle-area",19,0.2061,"circle-area",19,0.2057,"circle-area",19,0.2057,"circle-area",19,0.2061,"circle-area",19,0.2061,"Single-KC",161,0.2732,"circle-area",19,0.2057,"circle-area",19,0.2061,45,1,0.0471,"circle-area",19,0.2061,1,19,0.2112
"2372",2372,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"(UNSHADED-AREA QUESTION1)","1996-02-01 00:48:26","1996-02-01 00:48:38","1996-02-01 00:48:38","1996-02-01 00:48:38",12,12,29.4792774519121,"correct",0,0,1,0,"Geometry",162,0.2732,"compose-by-multiplication",21,0.0742,"compose-by-multiplication",21,0.0734,"compose-by-multiplication",21,0.0743,"compose-by-multiplication",21,0.0743,"compose-by-multiplication",21,0.0743,"compose-by-multiplication",21,0.0743,"compose-by-multiplication",21,0.0743,"Single-KC",162,0.2732,"compose-by-multiplication",21,0.0743,"compose-by-multiplication",21,0.0743,1,1,0.643,"compose-by-multiplication",21,0.0743,5,21,0.0763
"2373",2373,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",1,"(SHADED-AREA QUESTION1)","1996-02-01 00:48:38","1996-02-01 00:48:47","1996-02-01 00:48:47","1996-02-01 00:48:47",9,9,21.0438794101466,"correct",0,0,1,0,"Geometry",163,0.2731,"compose-by-addition",19,0.3172,"compose-by-addition",19,0.3146,"compose-by-addition",19,0.318,"compose-by-addition",19,0.3172,"compose-by-addition",19,0.3172,"compose-by-addition",19,0.318,"compose-by-addition",19,0.318,"Single-KC",163,0.2731,"compose-by-addition",19,0.3172,"compose-by-addition",19,0.318,129,1,0.6073,"compose-by-addition",19,0.318,4,16,0.3523
"2374",2374,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(SQUARE-AREA QUESTION1)","1996-02-01 00:49:01","1996-02-01 00:49:01","1996-02-01 00:49:01","1996-02-01 00:49:01",0,0,13.1357489673006,"correct",0,0,1,0,"Geometry",164,0.2731,"square-area",13,0.0888,"area",107,0.2568,"sq_rect-area",29,0.0726,"square-area",13,0.0888,"square-area",13,0.0888,"square-rect-area",29,0.0726,"square-rect-area",29,0.0726,"Single-KC",164,0.2731,"square-area",13,0.0888,"rectangle-area",29,0.0726,83,2,0.1507,"square-rect-area",29,0.0726,9,23,0.0633
"2375",2375,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(POG-AREA QUESTION1)","1996-02-01 00:49:01","1996-02-01 00:49:09","1996-02-01 00:49:09","1996-02-01 00:49:09",8,8,7.77956340378222,"correct",0,0,1,0,"Geometry",165,0.273,"circle-area",19,0.1803,"area",108,0.2563,"circle-area",20,0.1951,"circle-area",20,0.1949,"circle-area",20,0.1949,"circle-area",20,0.1951,"circle-area",20,0.1951,"Single-KC",165,0.273,"circle-area",20,0.1949,"circle-area",20,0.1951,38,2,-5.55111512312578e-17,"circle-area",20,0.1951,1,20,0.2
"2376",2376,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(SCRAP-METAL-AREA QUESTION1)","1996-02-01 00:49:09","1996-02-01 00:49:15","1996-02-01 00:49:16","1996-02-01 00:49:16",7,12.3213494491907,7,"incorrect",1,0,1,0,"Geometry",166,0.273,"compose-by-addition",20,0.3172,"compose-by-addition",20,0.3146,"compose-by-addition",20,0.318,"compose-by-addition",20,0.3172,"compose-by-addition",20,0.3172,"compose-by-addition",20,0.318,"compose-by-addition",20,0.318,"Single-KC",166,0.273,"compose-by-addition",20,0.3172,"compose-by-addition",20,0.318,127,2,0.3492,"compose-by-addition",20,0.318,4,17,0.3523
"2377",2377,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(SQUARE-AREA QUESTION2)","1996-02-01 00:49:16","1996-02-01 00:49:26","1996-02-01 00:49:27","1996-02-01 00:49:27",11,9.73045530996964,11,"incorrect",1,0,1,0,"Geometry",167,0.2729,"square-area",14,0.0888,"area",109,0.2559,"sq_rect-area",30,0.071,"square-area",14,0.0888,"square-area",14,0.0888,"square-rect-area",30,0.071,"square-rect-area",30,0.071,"Single-KC",167,0.2729,"square-area",14,0.0888,"rectangle-area",30,0.071,88,2,0.0359,"square-rect-area",30,0.071,9,24,0.0611
"2378",2378,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(POG-AREA QUESTION2)","1996-02-01 00:49:27","1996-02-01 00:49:32","1996-02-01 00:49:32","1996-02-01 00:49:32",5,5,14.2290114721362,"correct",0,0,1,0,"Geometry",168,0.2729,"circle-area",20,0.1679,"area",110,0.2554,"circle-area",21,0.1847,"circle-area",21,0.1844,"circle-area",21,0.1844,"circle-area",21,0.1847,"circle-area",21,0.1847,"Single-KC",168,0.2729,"circle-area",21,0.1844,"circle-area",21,0.1847,86,2,0.0959,"circle-area",21,0.1847,1,21,0.1893
"2379",2379,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(SCRAP-METAL-AREA QUESTION2)","1996-02-01 00:49:32","1996-02-01 00:49:36","1996-02-01 00:49:36","1996-02-01 00:49:36",4,4,15.448550327428,"correct",0,0,1,0,"Geometry",169,0.2728,"compose-by-addition",21,0.3172,"compose-by-addition",21,0.3146,"compose-by-addition",21,0.318,"compose-by-addition",21,0.3172,"compose-by-addition",21,0.3172,"compose-by-addition",21,0.318,"compose-by-addition",21,0.318,"Single-KC",169,0.2728,"compose-by-addition",21,0.3172,"compose-by-addition",21,0.318,60,2,0.2848,"compose-by-addition",21,0.318,4,18,0.3523
"2380",2380,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(SQUARE-AREA QUESTION3)","1996-02-01 00:49:36","1996-02-01 00:49:45","1996-02-01 00:49:45","1996-02-01 00:49:45",9,9,14.9535834466518,"correct",0,0,1,0,"Geometry",170,0.2728,"square-area",15,0.0888,"area",111,0.2549,"sq_rect-area",31,0.0695,"square-area",15,0.0888,"square-area",15,0.0888,"square-rect-area",31,0.0695,"square-rect-area",31,0.0695,"Single-KC",170,0.2728,"square-area",15,0.0888,"rectangle-area",31,0.0695,79,2,0,"square-rect-area",31,0.0695,9,25,0.0591
"2381",2381,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(POG-AREA QUESTION3)","1996-02-01 00:49:45","1996-02-01 00:49:47","1996-02-01 00:49:47","1996-02-01 00:49:47",2,2,13.0390777105836,"correct",0,0,1,0,"Geometry",171,0.2728,"circle-area",21,0.1562,"area",112,0.2545,"circle-area",22,0.1746,"circle-area",22,0.1745,"circle-area",22,0.1745,"circle-area",22,0.1746,"circle-area",22,0.1746,"Single-KC",171,0.2728,"circle-area",22,0.1745,"circle-area",22,0.1746,43,2,0,"circle-area",22,0.1746,1,22,0.179
"2382",2382,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","POGS",2,"(SCRAP-METAL-AREA QUESTION3)","1996-02-01 00:49:47","1996-02-01 00:49:56","1996-02-01 00:49:57","1996-02-01 00:49:57",10,-4.13424136167841,10,"incorrect",1,0,1,0,"Geometry",172,0.2727,"compose-by-addition",22,0.3172,"compose-by-addition",22,0.3146,"compose-by-addition",22,0.318,"compose-by-addition",22,0.3172,"compose-by-addition",22,0.3172,"compose-by-addition",22,0.318,"compose-by-addition",22,0.318,"Single-KC",172,0.2727,"compose-by-addition",22,0.3172,"compose-by-addition",22,0.318,108,2,0.1047,"compose-by-addition",22,0.318,4,19,0.3523
"2383",2383,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",2,"(SQUARE-BASE QUESTION1)","1996-02-01 00:50:12","1996-02-01 00:50:12","1996-02-01 00:50:12","1996-02-01 00:50:12",0,0,6.23323821442496,"correct",0,0,1,0,"Geometry",173,0.2727,"compose-by-multiplication",22,0.0667,"compose-by-multiplication",22,0.0663,"compose-by-multiplication",22,0.0668,"compose-by-multiplication",22,0.0668,"compose-by-multiplication",22,0.0668,"compose-by-multiplication",22,0.0668,"compose-by-multiplication",22,0.0668,"Single-KC",173,0.2727,"compose-by-multiplication",22,0.0668,"compose-by-multiplication",22,0.0668,15,2,0.2972,"compose-by-multiplication",22,0.0668,5,22,0.0686
"2384",2384,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",2,"(SQUARE-AREA QUESTION1)","1996-02-01 00:50:12","1996-02-01 00:50:25","1996-02-01 00:50:25","1996-02-01 00:50:25",13,13,2.54336432837405,"correct",0,0,1,0,"Geometry",174,0.2726,"square-area",16,0.0887,"area",113,0.254,"sq_rect-area",32,0.068,"square-area",16,0.0888,"square-area",16,0.0888,"square-rect-area",32,0.068,"square-rect-area",32,0.068,"Single-KC",174,0.2726,"square-area",16,0.0888,"rectangle-area",32,0.068,55,2,0.1444,"square-rect-area",32,0.068,9,26,0.057
"2385",2385,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",2,"(UNSHADED-AREA QUESTION1)","1996-02-01 00:50:25","1996-02-01 00:50:38","1996-02-01 00:50:38","1996-02-01 00:50:38",13,13,-0.163128664889335,"correct",0,0,1,0,"Geometry",175,0.2726,"compose-by-multiplication",23,0.06,"compose-by-multiplication",23,0.0598,"compose-by-multiplication",23,0.0601,"compose-by-multiplication",23,0.0601,"compose-by-multiplication",23,0.0601,"compose-by-multiplication",23,0.0601,"compose-by-multiplication",23,0.0601,"Single-KC",175,0.2726,"compose-by-multiplication",23,0.0601,"compose-by-multiplication",23,0.0601,1.00000000000003,2,0.2202,"compose-by-multiplication",23,0.0601,5,23,0.0617
"2386",2386,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TWO_CIRCLES_IN_SQUARE",2,"(SHADED-AREA QUESTION1)","1996-02-01 00:50:38","1996-02-01 00:50:45","1996-02-01 00:50:45","1996-02-01 00:50:45",7,7,-0.979747772101813,"correct",0,0,1,0,"Geometry",176,0.2725,"compose-by-addition",23,0.3172,"compose-by-addition",23,0.3146,"compose-by-addition",23,0.318,"compose-by-addition",23,0.3172,"compose-by-addition",23,0.3172,"compose-by-addition",23,0.318,"compose-by-addition",23,0.318,"Single-KC",176,0.2725,"compose-by-addition",23,0.3172,"compose-by-addition",23,0.318,129,2,0.3286,"compose-by-addition",23,0.318,4,20,0.3523
"2387",2387,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_CIRCUMFERENCE",1,"(RADIUS QUESTION4)","1996-02-01 00:51:04","1996-02-01 00:51:04","1996-02-01 00:51:05","1996-02-01 00:51:05",1,10.3320578186675,1,"incorrect",1,0,1,0,"Geometry",177,0.2725,"circle-diameter",8,0.3198,"diameter",8,0.3099,"circle-diameter",8,0.3215,"circle-diameter",8,0.3208,"circle-diameter",8,0.3208,"circle-diameter",8,0.3215,"circle-diameter",8,0.3215,"Single-KC",177,0.2725,"circle-diameter",8,0.3208,"circle-diameter",8,0.3215,87,1,0.5375,"circle-diameter",8,0.3215,3,8,0.3281
"2388",2388,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_CIRCUMFERENCE",1,"(AREA QUESTION4)","1996-02-01 00:51:05","1996-02-01 00:51:09","1996-02-01 00:51:10","1996-02-01 00:51:10",5,16.6847940069103,5,"incorrect",1,0,1,0,"Geometry",178,0.2724,"circle-pi",2,0.166,"area",114,0.2536,"circle-area",23,0.165,"circle-area",23,0.1649,"circle-area",23,0.1649,"circle-area",23,0.165,"circle-area",23,0.165,"Single-KC",178,0.2724,"circle-area",23,0.1649,"circle-area",23,0.165,30,1,0.4078,"circle-area",23,0.165,1,23,0.1692
"2389",2389,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_CIRCUMFERENCE",1,"(DIAMETER QUESTION4)","1996-02-01 00:51:10","1996-02-01 00:51:24","1996-02-01 00:51:24","1996-02-01 00:51:24",14,14,5.4942454160531,"correct",0,0,1,0,"Geometry",179,0.2724,"circle-circumference",8,0.247,"circumference",8,0.2398,"circle-circumference",8,0.2487,"circle-circumference",8,0.2481,"circle-circumference",8,0.2481,"circle-circumference",8,0.2487,"circle-circumference",8,0.2487,"Single-KC",179,0.2724,"circle-circumference",8,0.2481,"circle-circumference",8,0.2487,13,1,0.262,"circle-circumference",8,0.2487,2,8,0.2543
"2390",2390,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TRIANGLE_TRIANGLE",2,"(AREA QUESTION1)","1996-02-01 00:51:50","1996-02-01 00:51:50","1996-02-01 00:51:50","1996-02-01 00:51:50",0,0,3.19627546479062,"correct",0,0,1,0,"Geometry",180,0.2724,"triangle-area",22,0.2236,"area",115,0.2531,"triangle-area",22,0.2239,"triangle-area",22,0.2239,"triangle-area",22,0.2239,"triangle-area",22,0.2239,"triangle-area",22,0.2239,"Single-KC",180,0.2724,"triangle-area",22,0.2239,"triangle-area",22,0.2239,76,2,0.2795,"triangle-area",22,0.2239,11,22,0.2297
"2391",2391,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TRIANGLE_AREA",2,"(AREA QUESTION1)","1996-02-01 00:51:57","1996-02-01 00:51:57","1996-02-01 00:51:57","1996-02-01 00:51:57",0,-1.77635683940025e-15,0.800167781132828,"correct",0,0,1,0,"Geometry",181,0.2723,"triangle-area",23,0.2188,"area",116,0.2527,"triangle-area",23,0.2192,"triangle-area",23,0.2191,"triangle-area",23,0.2191,"triangle-area",23,0.2192,"triangle-area",23,0.2192,"Single-KC",181,0.2723,"triangle-area",23,0.2191,"triangle-area",23,0.2192,64,2,0.1308,"triangle-area",23,0.2192,11,23,0.2248
"2392",2392,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","COVERING_POOL",2,"(RADIUS QUESTION1)","1996-02-01 00:52:06","1996-02-01 00:52:06","1996-02-01 00:52:07","1996-02-01 00:52:07",1,5.4305269871772,1,"incorrect",1,0,1,0,"Geometry",182,0.2723,"circle-area",22,0.1452,"area",117,0.2522,"circle-area",24,0.1559,"circle-area",24,0.1558,"circle-area",24,0.1558,"circle-area",24,0.1559,"circle-area",24,0.1559,"Single-KC",182,0.2723,"circle-area",24,0.1558,"circle-area",24,0.1559,22,2,0.4533,"circle-area",24,0.1559,1,24,0.1598
"2393",2393,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","COVERING_POOL",2,"(DIAMETER QUESTION1)","1996-02-01 00:52:07","1996-02-01 00:52:13","1996-02-01 00:52:13","1996-02-01 00:52:13",6,6,5.57048828028574,"correct",0,0,1,0,"Geometry",183,0.2722,"circle-diameter",9,0.3116,"diameter",9,0.303,"circle-diameter",9,0.3131,"circle-diameter",9,0.3125,"circle-diameter",9,0.3125,"circle-diameter",9,0.3131,"circle-diameter",9,0.3131,"Single-KC",183,0.2722,"circle-diameter",9,0.3125,"circle-diameter",9,0.3131,110,2,0.3891,"circle-diameter",9,0.3131,3,9,0.3194
"2394",2394,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TRIANGLE_RECTANGLE",2,"(BASE QUESTION1)","1996-02-01 00:52:17","1996-02-01 00:52:17","1996-02-01 00:52:17","1996-02-01 00:52:17",0,0,12.6089028767769,"correct",0,0,1,0,"Geometry",184,0.2722,"compose-by-multiplication",24,0.0538,"compose-by-multiplication",24,0.0539,"compose-by-multiplication",24,0.0539,"compose-by-multiplication",24,0.0539,"compose-by-multiplication",24,0.0539,"compose-by-multiplication",24,0.0539,"compose-by-multiplication",24,0.0539,"Single-KC",184,0.2722,"compose-by-multiplication",24,0.0539,"compose-by-multiplication",24,0.0539,70,2,0.7132,"compose-by-multiplication",24,0.0539,5,24,0.0553999999999999
"2395",2395,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","TRIANGLE_RECTANGLE",2,"(AREA QUESTION1)","1996-02-01 00:52:17","1996-02-01 00:52:18","1996-02-01 00:52:18","1996-02-01 00:52:18",1,1,19.2931525682338,"correct",0,0,1,0,"Geometry",185,0.2721,"triangle-area",24,0.2141,"area",118,0.2518,"triangle-area",24,0.2145,"triangle-area",24,0.2144,"triangle-area",24,0.2144,"triangle-area",24,0.2145,"triangle-area",24,0.2145,"Single-KC",185,0.2721,"triangle-area",24,0.2144,"triangle-area",24,0.2145,14,2,0.4717,"triangle-area",24,0.2145,11,24,0.22
"2396",2396,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_DIAMETER",2,"(RADIUS QUESTION1)","1996-02-01 00:52:25","1996-02-01 00:52:25","1996-02-01 00:52:25","1996-02-01 00:52:25",0,0,22.8011461334164,"correct",0,0,1,0,"Geometry",186,0.2721,"circle-diameter",10,0.3035,"diameter",10,0.2961,"circle-diameter",10,0.3049,"circle-diameter",10,0.3043,"circle-diameter",10,0.3043,"circle-diameter",10,0.3049,"circle-diameter",10,0.3049,"Single-KC",186,0.2721,"circle-diameter",10,0.3043,"circle-diameter",10,0.3049,90,2,0.0768,"circle-diameter",10,0.3049,3,10,0.3108
"2397",2397,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_DIAMETER",2,"(AREA QUESTION1)","1996-02-01 00:52:25","1996-02-01 00:52:30","1996-02-01 00:52:30","1996-02-01 00:52:30",5,5,20.3107923510851,"correct",0,0,1,0,"Geometry",187,0.272,"circle-pi",3,0.151,"area",119,0.2513,"circle-area",25,0.1471,"circle-area",25,0.1471,"circle-area",25,0.1471,"circle-area",25,0.1471,"circle-area",25,0.1471,"Single-KC",187,0.272,"circle-area",25,0.1471,"circle-area",25,0.1471,36,2,0.0489,"circle-area",25,0.1471,1,25,0.1508
"2398",2398,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_DIAMETER",2,"(CIRCUMFERENCE QUESTION1)","1996-02-01 00:52:30","1996-02-01 00:52:38","1996-02-01 00:52:39","1996-02-01 00:52:39",9,8.00855051546303,9,"incorrect",1,0,1,0,"Geometry",188,0.272,"circle-circumference",9,0.235,"circumference",9,0.229,"circle-circumference",9,0.2364,"circle-circumference",9,0.2359,"circle-circumference",9,0.2359,"circle-circumference",9,0.2364,"circle-circumference",9,0.2364,"Single-KC",188,0.272,"circle-circumference",9,0.2359,"circle-circumference",9,0.2364,35,2,0.1673,"circle-circumference",9,0.2364,2,9,0.2417
"2399",2399,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_AREA",2,"(RADIUS QUESTION3)","1996-02-01 00:52:53","1996-02-01 00:52:53","1996-02-01 00:52:54","1996-02-01 00:52:54",1,7.57221782584356,1,"incorrect",1,0,1,0,"Geometry",189,0.272,"circle-area",23,0.1348,"area",120,0.2509,"circle-area",26,0.1388,"circle-area",26,0.1388,"circle-area",26,0.1388,"circle-area",26,0.1388,"circle-area",26,0.1388,"Single-KC",189,0.272,"circle-area",26,0.1388,"circle-area",26,0.1388,118,2,0.4328,"circle-area",26,0.1388,1,26,0.1422
"2400",2400,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_AREA",2,"(DIAMETER QUESTION3)","1996-02-01 00:52:54","1996-02-01 00:53:24","1996-02-01 00:53:25","1996-02-01 00:53:25",31,5.59977622330232,31,"incorrect",1,0,1,0,"Geometry",190,0.2719,"circle-diameter",11,0.2956,"diameter",11,0.2894,"circle-diameter",11,0.2967,"circle-diameter",11,0.2962,"circle-diameter",11,0.2962,"circle-diameter",11,0.2967,"circle-diameter",11,0.2967,"Single-KC",190,0.2719,"circle-diameter",11,0.2962,"circle-diameter",11,0.2967,93,2,0.4601,"circle-diameter",11,0.2967,3,11,0.3023
"2401",2401,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_AREA",2,"(CIRCUMFERENCE QUESTION3)","1996-02-01 00:53:25","1996-02-01 00:53:29","1996-02-01 00:53:29","1996-02-01 00:53:29",4,4,28.4675552039244,"correct",0,0,1,0,"Geometry",191,0.2719,"circle-circumference",10,0.2235,"circumference",10,0.2185,"circle-circumference",10,0.2247,"circle-circumference",10,0.2242,"circle-circumference",10,0.2242,"circle-circumference",10,0.2247,"circle-circumference",10,0.2247,"Single-KC",191,0.2719,"circle-circumference",10,0.2242,"circle-circumference",10,0.2247,72,2,0.2951,"circle-circumference",10,0.2247,2,10,0.2295
"2402",2402,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_CIRCUMFERENCE",2,"(RADIUS QUESTION4)","1996-02-01 00:54:08","1996-02-01 00:54:08","1996-02-01 00:54:09","1996-02-01 00:54:09",1,4.23747084062795,1.00000000000001,"incorrect",1,0,1,0,"Geometry",192,0.2718,"circle-diameter",12,0.2878,"diameter",12,0.2827,"circle-diameter",12,0.2887,"circle-diameter",12,0.2882,"circle-diameter",12,0.2882,"circle-diameter",12,0.2887,"circle-diameter",12,0.2887,"Single-KC",192,0.2718,"circle-diameter",12,0.2882,"circle-diameter",12,0.2887,87,2,0.5349,"circle-diameter",12,0.2887,3,12,0.294
"2403",2403,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_CIRCUMFERENCE",2,"(DIAMETER QUESTION4)","1996-02-01 00:54:09","1996-02-01 00:54:15","1996-02-01 00:54:15","1996-02-01 00:54:15",6,6,-21.3210711071041,"correct",0,0,1,0,"Geometry",193,0.2718,"circle-circumference",11,0.2123,"circumference",11,0.2084,"circle-circumference",11,0.2133,"circle-circumference",11,0.2129,"circle-circumference",11,0.2129,"circle-circumference",11,0.2133,"circle-circumference",11,0.2133,"Single-KC",193,0.2718,"circle-circumference",11,0.2129,"circle-circumference",11,0.2133,13,2,0.215,"circle-circumference",11,0.2133,2,11,0.2178
"2404",2404,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_CIRCUMFERENCE",2,"(AREA QUESTION4)","1996-02-01 00:54:15","1996-02-01 00:54:21","1996-02-01 00:54:21","1996-02-01 00:54:21",6,6,-33.862114166491,"correct",0,0,1,0,"Geometry",194,0.2717,"circle-pi",4,0.1372,"area",121,0.2504,"circle-area",27,0.1308,"circle-area",27,0.1308,"circle-area",27,0.1308,"circle-area",27,0.1308,"circle-area",27,0.1308,"Single-KC",194,0.2717,"circle-area",27,0.1308,"circle-area",27,0.1308,30,2,0.1252,"circle-area",27,0.1308,1,27,0.1341
"2405",2405,"All Data","Stu_9fb3481981a38a7299e9b3c96e0d0218","Unit Area","CIRCLE_O",2,"(RADIUS QUESTION1)","1996-02-01 00:55:03","1996-02-01 00:55:03","1996-02-01 00:55:03","1996-02-01 00:55:03",0,0,-38.351597865707,"correct",0,0,1,0,"Geometry",195,0.2717,"circle-diameter",13,0.2801,"diameter",13,0.2762,"circle-diameter",13,0.2808,"circle-diameter",13,0.2804,"circle-diameter",13,0.2804,"circle-diameter",13,0.2808,"circle-diameter",13,0.2808,"Single-KC",195,0.2717,"circle-diameter",13,0.2804,"circle-diameter",13,0.2808,40,2,0.1545,"circle-diameter",13,0.2808,3,13,0.2858
